iter	Passed	Remaining
0	3011	3008269
1	3016	1505169
2	3022	1004353
3	3025	753275
4	3026	602364
5	3028	501740
6	3030	429864
7	3031	375961
8	3033	334042
9	3036	300596
10	3039	273309
11	3041	250429
12	3043	231057
13	3075	216620
14	3077	202096
15	3079	189405
16	3081	178190
17	3083	168248
18	3086	159343
19	3087	151311
20	3089	144041
21	3091	137432
22	3093	131409
23	3095	125877
24	3097	120786
25	3105	116334
26	3107	111975
27	3113	108065
28	3117	104386
29	3120	100882
30	3123	97630
31	3125	94539
32	3127	91636
33	3132	89002
34	3134	86418
35	3136	83977
36	3137	81666
37	3139	79478
38	3157	77792
39	3158	75812
40	3164	74020
41	3166	72225
42	3168	70513
43	3170	68878
44	3172	67317
45	3173	65822
46	3179	64473
47	3181	63101
48	3183	61783
49	3185	60517
50	3186	59301
51	3188	58131
52	3190	57009
53	3193	55943
54	3195	54905
55	3197	53898
56	3199	52925
57	3200	51985
58	3202	51078
59	3204	50201
60	3207	49377
61	3209	48556
62	3211	47760
63	3212	46989
64	3214	46242
65	3216	45517
66	3218	44814
67	3219	44131
68	3223	43499
69	3226	42860
70	3227	42234
71	3229	41624
72	3231	41032
73	3232	40456
74	3234	39894
75	3236	39348
76	3241	38861
77	3243	38342
78	3245	37834
79	3246	37340
80	3248	36857
81	3250	36389
82	3251	35920
83	3253	35476
84	3255	35039
85	3256	34613
86	3258	34197
87	3260	33789
88	3262	33391
89	3265	33015
90	3267	32638
91	3269	32265
92	3270	31900
93	3273	31549
94	3275	31198
95	3276	30856
96	3279	30525
97	3281	30203
98	3283	29882
99	3285	29566
100	3286	29256
101	3288	28952
102	3290	28654
103	3292	28362
104	3294	28083
105	3296	27803
106	3298	27527
107	3300	27255
108	3301	26989
109	3303	26728
110	3305	26471
111	3307	26224
112	3313	26006
113	3314	25762
114	3316	25522
115	3318	25287
116	3320	25062
117	3325	24855
118	3328	24638
119	3329	24418
120	3331	24202
121	3332	23985
122	3334	23775
123	3336	23569
124	3338	23366
125	3343	23191
126	3344	22991
127	3346	22797
128	3348	22607
129	3352	22433
130	3354	22249
131	3357	22075
132	3359	21897
133	3360	21720
